id,type,name,xMin,yMin,xMax,yMax,zMin,zMax,description
boundary_v2,Boundary,Version 2 Boundary,0,0,60,18,0,4,"Version two shop area"
shop_11,Shop,Home Essentials,2,2,10,7,0,4,"Home essentials shop"
shop_12,Shop,Pharmacy,14,2,22,7,0,4,"Pharmacy shop"
shop_13,Shop,Toys & Games,26,2,34,7,0,4,"Toys and games shop"
shop_14,Shop,Sports Gear,38,2,46,7,0,4,"Sports gear shop"
shop_15,Shop,Beauty Studio,50,2,58,7,0,4,"Beauty studio shop"
shop_16,Shop,Bookstore,2,10,10,15,0,4,"Bookstore shop"
shop_17,Shop,Coffee Bar,14,10,22,15,0,4,"Coffee bar shop"
shop_18,Shop,Mobile Center,26,10,34,15,0,4,"Mobile center shop"
shop_19,Shop,Pet Supplies,38,10,46,15,0,4,"Pet supplies shop"
shop_20,Shop,Wellness Hub,50,10,58,15,0,4,"Wellness hub shop"
way_11_12,Path,Way Shop 11 to Shop 12,10,2,14,7,0,.08,"Direct way from Home Essentials to Pharmacy"
way_12_13,Path,Way Shop 12 to Shop 13,22,2,26,7,0,.08,"Direct way from Pharmacy to Toys & Games"
way_13_14,Path,Way Shop 13 to Shop 14,34,2,38,7,0,.08,"Direct way from Toys & Games to Sports Gear"
way_14_15,Path,Way Shop 14 to Shop 15,46,2,50,7,0,.08,"Direct way from Sports Gear to Beauty Studio"
way_16_17,Path,Way Shop 16 to Shop 17,10,10,14,15,0,.08,"Direct way from Bookstore to Coffee Bar"
way_17_18,Path,Way Shop 17 to Shop 18,22,10,26,15,0,.08,"Direct way from Coffee Bar to Mobile Center"
way_18_19,Path,Way Shop 18 to Shop 19,34,10,38,15,0,.08,"Direct way from Mobile Center to Pet Supplies"
way_19_20,Path,Way Shop 19 to Shop 20,46,10,50,15,0,.08,"Direct way from Pet Supplies to Wellness Hub"
way_11_16,Path,Way Shop 11 to Shop 16,2,7,10,10,0,.08,"Direct way from Home Essentials to Bookstore"
way_12_17,Path,Way Shop 12 to Shop 17,14,7,22,10,0,.08,"Direct way from Pharmacy to Coffee Bar"
way_13_18,Path,Way Shop 13 to Shop 18,26,7,34,10,0,.08,"Direct way from Toys & Games to Mobile Center"
way_14_19,Path,Way Shop 14 to Shop 19,38,7,46,10,0,.08,"Direct way from Sports Gear to Pet Supplies"
way_15_20,Path,Way Shop 15 to Shop 20,50,7,58,10,0,.08,"Direct way from Beauty Studio to Wellness Hub"
sign_exit_v2,Gate,Exit,28,15,34,18,0,2,"Exit sign"
sign_cr_v2,Gate,CR,52,15,58,18,0,2,"Restroom CR sign"
