id,type,name,xMin,yMin,xMax,yMax,zMin,zMax,description
boundary_1,Boundary,Main Boundary,0,0,40,40,0,4,"Overall warehouse area"
shop_1,Shop,Accessories,0,30,8,40,0,4,"Accessories shop"
shop_2,Shop,Active Lifestyle,8,30,18,40,0,4,"Active lifestyle shop"
shop_3,Shop,Bags & Footwear,0,20,9,30,0,4,"Bags and footwear shop"
shop_4,Shop,Clothing,9,22,18,30,0,4,"Clothing shop"
shop_5,Shop,Fashion Hall,22,30,31,40,0,4,"Fashion hall shop"
shop_6,Shop,Consumer Electronics,31,30,40,40,0,4,"Consumer electronics shop"
shop_7,Shop,Services,22,20,30,30,0,4,"Services shop"
shop_8,Shop,Events & Promos,30,22,40,30,0,4,"Events and promos shop"
shop_9,Shop,Food Court,0,0,10,18,0,4,"Food court shop"
shop_10,Shop,Cinema,22,0,40,18,0,5,"Cinema block"
path_vert,Path,Vertical Corridor,18,0,22,40,0,4,"Vertical path through center"
path_horiz,Path,Horizontal Corridor,0,18,40,22,0,4,"Horizontal path through center"
