id,type,name,xMin,yMin,xMax,yMax,zMin,zMax,description
boundary_30,Boundary,Main Boundary,0,0,60,48,0,4,"Combined area with 30 shops"
shop_1,Shop,Accessories,2,2,10,7,0,4,"Accessories shop"
shop_2,Shop,Active Lifestyle,14,2,22,7,0,4,"Active lifestyle shop"
shop_3,Shop,Bags & Footwear,26,2,34,7,0,4,"Bags and footwear shop"
shop_4,Shop,Clothing,38,2,46,7,0,4,"Clothing shop"
shop_5,Shop,Fashion Hall,50,2,58,7,0,4,"Fashion hall shop"
shop_6,Shop,Consumer Electronics,2,10,10,15,0,4,"Consumer electronics shop"
shop_7,Shop,Services,14,10,22,15,0,4,"Services shop"
shop_8,Shop,Events & Promos,26,10,34,15,0,4,"Events and promos shop"
shop_9,Shop,Food Court,38,10,46,15,0,4,"Food court shop"
shop_10,Shop,Cinema,50,10,58,15,0,5,"Cinema block"
shop_11,Shop,Home Essentials,2,18,10,23,0,4,"Home essentials shop"
shop_12,Shop,Pharmacy,14,18,22,23,0,4,"Pharmacy shop"
shop_13,Shop,Toys & Games,26,18,34,23,0,4,"Toys and games shop"
shop_14,Shop,Sports Gear,38,18,46,23,0,4,"Sports gear shop"
shop_15,Shop,Beauty Studio,50,18,58,23,0,4,"Beauty studio shop"
shop_16,Shop,Bookstore,2,26,10,31,0,4,"Bookstore shop"
shop_17,Shop,Coffee Bar,14,26,22,31,0,4,"Coffee bar shop"
shop_18,Shop,Mobile Center,26,26,34,31,0,4,"Mobile center shop"
shop_19,Shop,Pet Supplies,38,26,46,31,0,4,"Pet supplies shop"
shop_20,Shop,Wellness Hub,50,26,58,31,0,4,"Wellness hub shop"
shop_21,Shop,Jewelry,2,34,10,39,0,4,"Jewelry shop"
shop_22,Shop,Optical,14,34,22,39,0,4,"Optical shop"
shop_23,Shop,Gaming Lounge,26,34,34,39,0,4,"Gaming lounge shop"
shop_24,Shop,Kitchenware,38,34,46,39,0,4,"Kitchenware shop"
shop_25,Shop,Music Store,50,34,58,39,0,4,"Music store shop"
shop_26,Shop,Travel Goods,2,42,10,47,0,4,"Travel goods shop"
shop_27,Shop,Kids Fashion,14,42,22,47,0,4,"Kids fashion shop"
shop_28,Shop,Art Supplies,26,42,34,47,0,4,"Art supplies shop"
shop_29,Shop,Snack Corner,38,42,46,47,0,4,"Snack corner shop"
shop_30,Shop,Service Desk,50,42,58,47,0,4,"Service desk shop"
way_1_2,Path,Way Shop 1 to Shop 2,10,2,14,7,0,4,"Direct way from Shop 1 to Shop 2"
way_2_3,Path,Way Shop 2 to Shop 3,22,2,26,7,0,4,"Direct way from Shop 2 to Shop 3"
way_3_4,Path,Way Shop 3 to Shop 4,34,2,38,7,0,4,"Direct way from Shop 3 to Shop 4"
way_4_5,Path,Way Shop 4 to Shop 5,46,2,50,7,0,4,"Direct way from Shop 4 to Shop 5"
way_6_7,Path,Way Shop 6 to Shop 7,10,10,14,15,0,4,"Direct way from Shop 6 to Shop 7"
way_7_8,Path,Way Shop 7 to Shop 8,22,10,26,15,0,4,"Direct way from Shop 7 to Shop 8"
way_8_9,Path,Way Shop 8 to Shop 9,34,10,38,15,0,4,"Direct way from Shop 8 to Shop 9"
way_9_10,Path,Way Shop 9 to Shop 10,46,10,50,15,0,4,"Direct way from Shop 9 to Shop 10"
way_11_12,Path,Way Shop 11 to Shop 12,10,18,14,23,0,4,"Direct way from Shop 11 to Shop 12"
way_12_13,Path,Way Shop 12 to Shop 13,22,18,26,23,0,4,"Direct way from Shop 12 to Shop 13"
way_13_14,Path,Way Shop 13 to Shop 14,34,18,38,23,0,4,"Direct way from Shop 13 to Shop 14"
way_14_15,Path,Way Shop 14 to Shop 15,46,18,50,23,0,4,"Direct way from Shop 14 to Shop 15"
way_16_17,Path,Way Shop 16 to Shop 17,10,26,14,31,0,4,"Direct way from Shop 16 to Shop 17"
way_17_18,Path,Way Shop 17 to Shop 18,22,26,26,31,0,4,"Direct way from Shop 17 to Shop 18"
way_18_19,Path,Way Shop 18 to Shop 19,34,26,38,31,0,4,"Direct way from Shop 18 to Shop 19"
way_19_20,Path,Way Shop 19 to Shop 20,46,26,50,31,0,4,"Direct way from Shop 19 to Shop 20"
way_21_22,Path,Way Shop 21 to Shop 22,10,34,14,39,0,4,"Direct way from Shop 21 to Shop 22"
way_22_23,Path,Way Shop 22 to Shop 23,22,34,26,39,0,4,"Direct way from Shop 22 to Shop 23"
way_23_24,Path,Way Shop 23 to Shop 24,34,34,38,39,0,4,"Direct way from Shop 23 to Shop 24"
way_24_25,Path,Way Shop 24 to Shop 25,46,34,50,39,0,4,"Direct way from Shop 24 to Shop 25"
way_26_27,Path,Way Shop 26 to Shop 27,10,42,14,47,0,4,"Direct way from Shop 26 to Shop 27"
way_27_28,Path,Way Shop 27 to Shop 28,22,42,26,47,0,4,"Direct way from Shop 27 to Shop 28"
way_28_29,Path,Way Shop 28 to Shop 29,34,42,38,47,0,4,"Direct way from Shop 28 to Shop 29"
way_29_30,Path,Way Shop 29 to Shop 30,46,42,50,47,0,4,"Direct way from Shop 29 to Shop 30"
way_1_6,Path,Way Shop 1 to Shop 6,2,7,10,10,0,4,"Direct way from Shop 1 to Shop 6"
way_2_7,Path,Way Shop 2 to Shop 7,14,7,22,10,0,4,"Direct way from Shop 2 to Shop 7"
way_3_8,Path,Way Shop 3 to Shop 8,26,7,34,10,0,4,"Direct way from Shop 3 to Shop 8"
way_4_9,Path,Way Shop 4 to Shop 9,38,7,46,10,0,4,"Direct way from Shop 4 to Shop 9"
way_5_10,Path,Way Shop 5 to Shop 10,50,7,58,10,0,4,"Direct way from Shop 5 to Shop 10"
way_6_11,Path,Way Shop 6 to Shop 11,2,15,10,18,0,4,"Direct way from Shop 6 to Shop 11"
way_7_12,Path,Way Shop 7 to Shop 12,14,15,22,18,0,4,"Direct way from Shop 7 to Shop 12"
way_8_13,Path,Way Shop 8 to Shop 13,26,15,34,18,0,4,"Direct way from Shop 8 to Shop 13"
way_9_14,Path,Way Shop 9 to Shop 14,38,15,46,18,0,4,"Direct way from Shop 9 to Shop 14"
way_10_15,Path,Way Shop 10 to Shop 15,50,15,58,18,0,4,"Direct way from Shop 10 to Shop 15"
way_11_16,Path,Way Shop 11 to Shop 16,2,23,10,26,0,4,"Direct way from Shop 11 to Shop 16"
way_12_17,Path,Way Shop 12 to Shop 17,14,23,22,26,0,4,"Direct way from Shop 12 to Shop 17"
way_13_18,Path,Way Shop 13 to Shop 18,26,23,34,26,0,4,"Direct way from Shop 13 to Shop 18"
way_14_19,Path,Way Shop 14 to Shop 19,38,23,46,26,0,4,"Direct way from Shop 14 to Shop 19"
