id,type,name,xMin,yMin,xMax,yMax,zMin,zMax,description
boundary_v3,Boundary,Version 3 Boundary,0,0,60,18,0,4,"Version three shop area"
shop_21,Shop,Jewelry,2,2,10,7,0,4,"Jewelry shop"
shop_22,Shop,Optical,14,2,22,7,0,4,"Optical shop"
shop_23,Shop,Gaming Lounge,26,2,34,7,0,4,"Gaming lounge shop"
shop_24,Shop,Kitchenware,38,2,46,7,0,4,"Kitchenware shop"
shop_25,Shop,Music Store,50,2,58,7,0,4,"Music store shop"
shop_26,Shop,Travel Goods,2,10,10,15,0,4,"Travel goods shop"
shop_27,Shop,Kids Fashion,14,10,22,15,0,4,"Kids fashion shop"
shop_28,Shop,Art Supplies,26,10,34,15,0,4,"Art supplies shop"
shop_29,Shop,Snack Corner,38,10,46,15,0,4,"Snack corner shop"
shop_30,Shop,Service Desk,50,10,58,15,0,4,"Service desk shop"
way_21_22,Path,Way Shop 21 to Shop 22,10,2,14,7,0,4,"Direct way from Jewelry to Optical"
way_22_23,Path,Way Shop 22 to Shop 23,22,2,26,7,0,4,"Direct way from Optical to Gaming Lounge"
way_23_24,Path,Way Shop 23 to Shop 24,34,2,38,7,0,4,"Direct way from Gaming Lounge to Kitchenware"
way_24_25,Path,Way Shop 24 to Shop 25,46,2,50,7,0,4,"Direct way from Kitchenware to Music Store"
way_26_27,Path,Way Shop 26 to Shop 27,10,10,14,15,0,4,"Direct way from Travel Goods to Kids Fashion"
way_27_28,Path,Way Shop 27 to Shop 28,22,10,26,15,0,4,"Direct way from Kids Fashion to Art Supplies"
way_28_29,Path,Way Shop 28 to Shop 29,34,10,38,15,0,4,"Direct way from Art Supplies to Snack Corner"
way_29_30,Path,Way Shop 29 to Shop 30,46,10,50,15,0,4,"Direct way from Snack Corner to Service Desk"
way_21_26,Path,Way Shop 21 to Shop 26,2,7,10,10,0,4,"Direct way from Jewelry to Travel Goods"
way_22_27,Path,Way Shop 22 to Shop 27,14,7,22,10,0,4,"Direct way from Optical to Kids Fashion"
way_23_28,Path,Way Shop 23 to Shop 28,26,7,34,10,0,4,"Direct way from Gaming Lounge to Art Supplies"
way_24_29,Path,Way Shop 24 to Shop 29,38,7,46,10,0,4,"Direct way from Kitchenware to Snack Corner"
way_25_30,Path,Way Shop 25 to Shop 30,50,7,58,10,0,4,"Direct way from Music Store to Service Desk"
sign_exit_v3,Gate,Exit,28,15,34,18,0,2,"Exit sign"
sign_cr_v3,Gate,CR,52,15,58,18,0,2,"Restroom CR sign"
